Mode,Crash In Disadvantaged Community,MasterFile,CollisionDate,CollisionTime,CollisionDayWeekCode,RoadwayName_HouseBusinessNumber_,RoadwayName_RoadwayName_,RoadwayName_Direction_,RoadwayName_RoadwaySuffix_,RoadwayfromReport,CurrentRoadwayNumber,RSEUniqueGIS,RoadwayIdentifier,ParkingLotIndicator,Latitude,Longitude,MannerofCollisionCode,YR,KABCO,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,In City Limits?
Motor Vehicle,Non DAC,72346284,20190430,950,2,NULL,DIXIE                                   ,S ,HWY  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.66967,-85.84651,5,2019,O,047-US-0031W -000,14.793,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72346540,20190430,1539,2,KY251,MILES                                   ,N ,ST   ,KY0251  ,KY0251  ,NULL,NULL,N,37.70554,-85.85547,1,2019,O,047-KY-0251  -000,0.764,0,0,0,0,0,0,0,1,0,1,1,0,0,Y
Motor Vehicle,DAC,72346549,20190422,1527,1,NULL,ST JOHN                                 ,NULL,RD   ,KY1357  ,KY1357  ,047 KY-1357    ,KY1357                                         ,N,37.70072,-85.88061,8,2019,O,047-KY-1357  -000,16.349,0,0,0,1,0,0,1,0,0,0,1,0,0,Y
Motor Vehicle,DAC,72346550,20190422,1628,1,NULL,MULBERRY                                ,N ,ST   ,US0062  ,US0062  ,047 US-62-10   ,US0062                                         ,N,37.70993,-85.83737,1,2019,O,047-US-0062  -000,19.618,0,0,1,0,0,0,1,1,0,0,1,0,0,Y
Motor Vehicle,DAC,72346601,20190429,2119,1,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.73214,-85.87097,8,2019,O,047-KY-3005  -000,7.32,0,0,1,0,0,0,1,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72346602,20190430,25,2,2333,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.73241,-85.85126,9,2019,C,047-KY-3005  -000,8.446,0,0,0,0,0,0,0,1,1,0,0,1,0,Y
Motor Vehicle,DAC,72346633,20190501,549,3,NULL,DIXIE                                   ,E ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.67432,-85.84576,8,2019,O,047-US-0031W -000,15.105,0,0,1,0,0,0,0,1,0,0,0,1,0,Y
Motor Vehicle,DAC,72346668,20190430,1400,2,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.73412,-85.88714,5,2019,O,047-US-0031W -000,19.93,0,0,0,1,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72346669,20190430,1511,2,NULL,US31W BYP S TURN LANE                   ,NULL,NULL,US0031WB,US0031WB,047 US-31WB-23 ,US0031WB                                       ,N,37.69998,-85.88215,5,2019,O,047-US-0031WB-023,0.016,0,0,0,1,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72347026,20190501,1136,3,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.72689,-85.8836,1,2019,O,047-US-0031W -000,19.38,0,0,0,1,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72347054,20190430,1547,2,NULL,DIXIE                                   ,W ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.70091,-85.86766,4,2019,C,047-US-0031W -000,17.371,0,0,0,1,0,0,1,0,0,0,1,0,0,Y
Motor Vehicle,Non DAC,72347134,20190416,754,2,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.71006,-85.90763,8,2019,O,047-KY-3005  -000,4.674,0,0,1,1,0,0,1,0,0,0,0,1,0,Y
Motor Vehicle,Non DAC,72347267,20190502,740,4,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.67144,-85.91174,5,2019,O,047-KY-3005  -000,1.896,0,0,0,0,0,0,0,0,0,0,0,0,0,N
Motor Vehicle,DAC,72347268,20190502,1216,4,NULL,MANTLE                                  ,S ,AVE  ,NULL,NULL,047 CS-1120    ,CS1120                                         ,N,37.6997,-85.86904,5,2019,O,047-CS-1120  -000,0.114,0,0,0,1,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72347511,20190501,1544,3,NULL,BRUIN                                   ,NULL,LN   ,NULL,NULL,047 LA-1001    ,LA1001                                         ,N,37.67567,-85.9131,5,2019,O,047-LA-1001  -000,0.482,0,0,1,1,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72347549,20190430,1946,2,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.71103,-85.87522,8,2019,O,047-US-0031W -000,18.199,0,0,0,0,0,0,1,0,0,0,0,1,0,Y
Motor Vehicle,Non DAC,72347557,20190502,1514,4,505,HICKORY                                 ,NULL,LN   ,NULL,NULL,047 CS-1242    ,CS1242                                         ,N,37.68962,-85.88613,8,2019,O,047-CS-1242  -000,0.084,0,0,0,1,0,0,0,1,0,0,0,1,0,Y
Motor Vehicle,Non DAC,72347558,20190502,1712,4,NULL,LINCOLN                                 ,NULL,PKWY ,KY0061  ,KY0061  ,047 KY-61      ,KY0061                                         ,N,37.66936,-85.8446,8,2019,O,047-KY-0061  -000,5.2,0,0,0,0,0,0,1,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72347809,20190502,1717,4,NULL,31W                                     ,NULL,BYP  ,US0031WB,US0031WB,NULL,NULL,N,37.69155,-85.87093,5,2019,O,047-US-0031WB-000,1.311,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72348196,20190504,904,6,NULL,MULBERRY                                ,N ,ST   ,US0062  ,US0062  ,047 US-62-10   ,US0062                                         ,N,37.71183,-85.83347,5,2019,O,047-US-0062  -000,19.866,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72348374,20190503,1943,5,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.72745,-85.88357,1,2019,O,047-US-0031W -000,19.395,0,0,0,0,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72348594,20190504,747,6,NULL,LINCOLN                                 ,NULL,PKWY ,KY0061  ,KY0061  ,047 KY-61      ,KY0061                                         ,N,37.66839,-85.84308,9,2019,O,047-KY-0061  -000,5.094,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72348595,20190503,813,5,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.71793,-85.90293,5,2019,O,047-KY-3005  -000,5.291,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72348602,20190504,1439,6,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.73149,-85.88586,5,2019,O,047-US-0031W -000,19.728,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72348603,20190504,1507,6,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.72944,-85.88024,5,2019,O,047-KY-3005  -000,6.773,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72348670,20190505,1159,0,NULL,MULBERRY                                ,N ,ST   ,US0062  ,US0062  ,047 US-62-10   ,US0062                                         ,N,37.70458,-85.84676,1,2019,B,047-US-0062  -000,18.999,0,0,0,1,0,0,1,0,0,0,1,0,0,Y
Motor Vehicle,Non DAC,72348826,20190502,1552,4,NULL,DIXIE                                   ,S ,HWY  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.6697,-85.84653,5,2019,O,047-US-0031W -000,14.794,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72348827,20190503,1112,5,NULL,MULBERRY                                ,N ,ST   ,US0062  ,US0062  ,047 US-62-10   ,US0062                                         ,N,37.71335,-85.83043,5,2019,O,047-US-0062  -000,20.027,0,0,0,1,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72348888,20190504,1736,6,NULL,COMMERCE                                ,NULL,DR   ,NULL,NULL,047 CS-1108    ,CS1108                                         ,N,37.71042,-85.83313,1,2019,A,047-CS-1108  -000,0.084,0,0,0,1,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72349148,20190501,1300,3,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.72819,-85.88395,8,2019,O,047-US-0031W -000,19.471,0,0,0,1,0,0,0,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72349410,20190506,1429,1,NULL,31W                                     ,NULL,BYP  ,US0031WB,US0031WB,047 US-31WB-10 ,US0031WB                                       ,N,37.69203,-85.87212,2,2019,O,047-US-0031WB-000,1.368,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72349418,20190506,1448,1,NULL,DIXIE                                   ,W ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.70164,-85.86837,1,2019,O,047-US-0031W -000,17.437,0,0,0,1,0,0,1,0,0,0,1,0,0,Y
Motor Vehicle,Non DAC,72349501,20190507,1034,2,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,NULL,NULL,N,37.72703,-85.88851,1,2019,O,047-KY-3005  -000,6.302,0,0,0,0,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72349572,20190506,807,1,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.71291,-85.87664,1,2019,O,047-US-0031W -000,18.349,0,0,0,1,0,0,0,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72349573,20190506,1554,1,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.73058,-85.87592,4,2019,O,047-KY-3005  -000,7.025,0,0,0,1,0,0,0,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72349672,20190507,1433,2,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,NULL,NULL,N,37.73217,-85.84434,1,2019,C,047-KY-3005  -000,8.829,0,0,0,0,0,0,1,1,0,0,1,0,0,Y
Motor Vehicle,DAC,72349789,20190507,1955,2,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.72862,-85.88415,8,2019,O,047-US-0031W -000,19.502,0,0,0,0,0,0,1,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72350013,20190508,1020,3,NULL,VALLEY CREEK                            ,NULL,RD   ,KY0567  ,KY0567  ,047 KY-567     ,KY0567                                         ,N,37.67341,-85.84234,9,2019,O,047-KY-0567  -000,0.105,0,1,0,0,0,0,0,0,0,0,1,0,0,Y
Motor Vehicle,DAC,72350300,20190417,2141,3,NULL,ST JOHN                                 ,NULL,RD   ,KY1357  ,KY1357  ,047 KY-1357    ,KY1357                                         ,N,37.70026,-85.88183,1,2019,O,047-KY-1357  -000,16.327,0,0,1,1,0,0,0,0,0,0,1,0,0,Y
Motor Vehicle,DAC,72350412,20190508,1334,3,NULL,DIXIE                                   ,E ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.6748,-85.84585,4,2019,B,047-US-0031W -000,15.138,0,0,0,0,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72350523,20190509,1245,4,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.73227,-85.84524,5,2019,O,047-KY-3005  -000,8.779,0,0,0,1,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72350755,20190509,1352,4,308,STATE                                   ,NULL,ST   ,NULL,NULL,047 CS-1506    ,CS1506                                         ,N,37.7139,-85.8835,1,2019,O,047-CS-1506  -000,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72350799,20190509,1614,4,NULL,DIXIE                                   ,E ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.69264,-85.85734,5,2019,O,047-US-0031W -000,16.56,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72350840,20190509,1839,4,NULL,MILES                                   ,N ,ST   ,KY0251  ,KY0251  ,NULL,NULL,N,37.70605,-85.8553,5,2019,O,047-KY-0251  -000,0.8,0,0,0,1,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72350857,20190509,1557,4,NULL,MULBERRY                                ,S ,ST   ,US0062  ,US0062  ,047 US-62-10   ,US0062                                         ,N,37.68791,-85.86846,3,2019,O,047-US-0062  -000,17.315,0,0,1,0,0,0,1,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72350993,20190502,1559,4,NULL,MILES                                   ,N ,ST   ,KY0251  ,KY0251  ,047 KY-251     ,KY0251                                         ,N,37.69708,-85.86196,4,2019,O,047-KY-0251  -000,0.09,0,0,0,1,0,0,0,1,0,0,1,0,0,Y
Motor Vehicle,DAC,72350994,20190503,1648,5,NULL,DIXIE                                   ,W ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.69464,-85.86085,8,2019,O,047-US-0031W -000,16.811,0,0,0,0,0,0,0,1,0,0,0,1,0,Y
Motor Vehicle,DAC,72350995,20190503,1741,5,NULL,COMMERCE                                ,NULL,DR   ,NULL,NULL,047 CS-1108    ,CS1108                                         ,N,37.71038,-85.83316,1,2019,O,047-CS-1108  -000,0.085,0,0,1,1,0,0,0,1,0,0,1,0,0,Y
Motor Vehicle,DAC,72350996,20190504,1636,6,NULL,US31W BYP N TURN LANE                   ,NULL,NULL,US0031WB,US0031WB,047 US-31WB-21 ,US0031WB                                       ,N,37.70057,-85.88195,5,2019,O,047-US-0031WB-021,0.032,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72350997,20190504,1636,6,NULL,31W                                     ,NULL,BYP  ,US0031WB,US0031WB,047 US-31WB    ,US0031WB                                       ,N,37.70013,-85.88176,5,2019,O,047-US-0031WB-000,2.164,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72351107,20190510,1333,5,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.73308,-85.88664,5,2019,B,047-US-0031W -000,19.844,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72351222,20190505,1316,0,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.74546,-85.89229,5,2019,O,047-US-0031W -000,20.744,0,0,0,1,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72351324,20190510,1620,5,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.73385,-85.88685,8,2019,O,047-US-0031W -000,19.882,0,0,0,0,0,0,0,0,0,0,0,1,0,Y
Motor Vehicle,Non DAC,72351592,20190509,1509,4,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.69563,-85.91048,5,2019,O,047-KY-3005  -000,3.648,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72351593,20190509,1551,4,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.67244,-85.91241,1,2019,O,047-KY-3005  -000,1.913,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
